name_en,name_ko
Arrhythmogenic right ventricular cardiomyopathy (ARVC) (Boxer cardiomyopathy),부정맥성 우심실 심근병증 (ARVC)
Atopy,아토피
Atrial septal defect (ASD),심방중격결손 (ASD)
Cataracts,백내장
Cerebellar abiotrophy(ataxia),소뇌 위축증 (운동실조)
Cerebellar hypoplasia,소뇌 형성부전
Cervical vertebral instability (Wobbler syndrome),경추 불안정증 (워블러 증후군)
"Chiari-like malformation (CM) and syringomyelia (SM)",키아리 유사 기형 및 척수공동증
Chronic hepatitis,만성 간염
Cleft lip/palate,구순구개열
Coagulation (bleeding) disorders,혈액응고 장애
Collie eye anomaly (CEA),콜리 안구 이상 (CEA)
Complement deficiency,보체 결핍증
Corneal dystrophy,각막 이영양증
Cutaneous asthenia (Ehlers-Danlos syndrome),피부 무력증 (엘러스-단로스 증후군)
Cyclic hematopoiesis,주기성 조혈 장애
Dalmatian bronzing syndrome,달마시안 브론징 증후군
Deafness,청각 장애
Degenerative myelopathy,퇴행성 척수병증
Demodicosis/ Demodectic mange,모낭충증
Dermatomyositis and ulcerative dermatosis,피부근염 및 궤양성 피부증
Dermoids,유피종
Diabetes mellitus,당뇨병
Dilated cardiomyopathy,확장성 심근병증
Disorders of sexual development - sexual reversal,성발달 장애
Ectropion,안검외반증
Elbow dysplasia - OCD of the elbow,팔꿈치 이형성증
Entropion,안검내반증
Exocrine pancreatic insufficiency,외분비 췌장기능부전
"Exposure keratopathy syndrome (exophthalmos, lagophthalmos)",노출성 각막병증 (안구돌출)
"Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)",노출성 각막병증 (안구돌출)
Familial kidney disease,가족성 신장 질환
Fanconi syndrome,판코니 증후군
Fold dermatitis/pyoderma,주름 피부염/농피증
Follicular dysplasias,모낭 이형성증
Gastric dilatation-volvulus,위확장-꼬임 (GDV)
German shepherd pyoderma,저먼 셰퍼드 농피증
Glaucoma,녹내장
Globoid cell leukodystrophy (galactocerebrosidosis),글로보이드 세포 백질이영양증
Gluten-sensitive enteropathy,글루텐 민감성 장병증
"Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis",성장호르몬 반응성 피부증
Hemivertebra,반추체
Hemophilia,혈우병
"Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy",유전성 근병증
Hip dysplasia,고관절 이형성증
Histiocytic ulcerative colitis,조직구성 궤양성 대장염
Histiocytoma,조직구종
Histiocytosis,조직구증
Hydrocephalus,수두증
"Hyperadrenocorticism (Cushing's syndrome)",부신피질기능항진증 (쿠싱 증후군)
Hyperlipoproteinemia,고지단백혈증
"Hypoadrenocorticism (Addison's disease)",부신피질기능저하증 (애디슨병)
Hypothyroidism,갑상선기능저하증
Idiopathic epilepsy,특발성 간질
Immune-mediated hemolytic anemia (IMHA),면역매개 용혈성 빈혈 (IMHA)
Immune-mediated thrombocytopenia,면역매개 혈소판감소증
Immunoproliferative (Basenji) enteropathy/lymphocytic-plasmacytic enteritis,면역증식성 장병증
Intervertebral disk disease,추간판 질환
"Keratoconjunctivitis sicca (KCS) - ""dry eye""",건성 각결막염 (안구건조증)
Laryngeal paralysis,후두 마비
"Legg-Calvé-Perthes disease",레그-칼베-페르테스병
"Legg-Calv??-Perthes disease",레그-칼베-페르테스병
Lens luxation,수정체 탈구
Leukodystrophies,백질이영양증
Lissencephaly,매끄러운뇌증 (활뇌증)
"Lupus erythematosus (systemic, cutaneous)",루푸스 (전신/피부)
"Lupus erythematosus (systemic, cutaneous/discoid)",루푸스 (전신/피부)
Lymphedema,림프부종
Lysosomal storage diseases,리소좀 축적 질환
Masticatory muscle myositis - eosinophilic myositis,저작근 근염
Megaesophagus,거대식도증
Mellitus,당뇨병
Meningitis,수막염
"Microphthalmia; ocular dysgenesis",소안구증
Mitral valve dysplasia,승모판 이형성증
Myasthenia gravis,중증 근무력증
Myelodysplasia (spinal dysraphism),척수 이형성증
Myotonia,근긴장증
Neuroaxonal dystrophy,신경축삭 이영양증
Optic nerve hypoplasia and micropapilla,시신경 형성부전
Osteochondrodysplasia - skeletal dwarfism,골연골 이형성증 (골격성 왜소증)
Pancreatitis,췌장염
Pannus - chronic superficial keratitis,판누스 (만성 표재성 각막염)
Panosteitis,범골염
Patellar luxation,슬개골 탈구
Patent ductus arteriosus (PDA),동맥관 개존증 (PDA)
Pemphigus,천포창
Perianal fistula,항문주위 누공
Peripheral neuropathies,말초 신경병증
Persistent pupillary membranes (PPM),잔존 동공막
Persistent right aortic arch ( vascular ring anomaly ),우측 대동맥궁 잔존
Phosphofructokinase (PFK) deficiency,포스포프룩토키나아제 결핍증
Pituitary dwarfism,뇌하수체 왜소증
"Platelet dysfunction (thrombocytopathia, thrombopathia)",혈소판 기능장애
"Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia)",혈소판 기능장애
Portosystemic shunt,문맥체순환 단락
Progressive retinal atrophy,진행성 망막 위축
Protein-losing enteropathy,단백소실 장병증
Pulmonic stenosis,폐동맥 협착증
Pyloric stenosis,유문 협착증
Pyruvate kinase (PK) deficiency,피루브산 키나아제 결핍증
Renal cystadenocarcinoma and nodular dermatofibrosis,신장 낭선암 및 결절성 피부섬유증
Retinal dysplasia,망막 이형성증
"Craniomandibular osteopathy (""lion jaw"")",두개하악 골병증 (라이온 조)
Scotty cramp,스코티 크램프
Selective IgA deficiency,선택적 IgA 결핍증
Severe combined immunodeficiency (SCID),중증 복합 면역결핍증 (SCID)
Shaker dog syndrome,셰이커 도그 증후군
Sick sinus syndrome,동기능 부전 증후군
Small intestinal bacterial overgrowth (SIBO),소장 세균 과증식 (SIBO)
Spina bifida,이분척추
Spinal muscular atrophy/motor neuron diseases,척수 근위축증
Subaortic stenosis,대동맥하 협착증
Tetralogy of Fallot,팔로사징
"Third eyelid (nictitating membrane) abnormalities - ""cherry eye""",제3안검 이상 (체리아이)
Tricuspid valve dysplasia,삼첨판 이형성증
Urolithiasis (stones),요로결석
Ventricular septal defect (VSD),심실중격결손 (VSD)
Vertebral stenosis (associated with cauda equina syndrome),척추관 협착증 (마미 증후군)
Weimaraner immunodeficiency,바이마라너 면역결핍증
X-linked muscular dystrophy,X-연관 근이영양증
acral lick dermatitis (lick granuloma),사지 핥기 피부염 (핥기 육아종)
acral mutilation syndrome,사지 자해 증후군
brachycephalic syndrome,단두종 증후군
colour dilution alopecia,희석색 탈모증
congenital hypotrichosis,선천성 희모증
"Cryptorchidism, retained testicles",잠복고환
"Cryptorchidism, retained testicle",잠복고환
dermoid sinus,유피동
ectodermal defect,외배엽 결손
epidermal dysplasia,표피 이형성증
footpad disorder in the German shepherd,저먼 셰퍼드 발바닥 질환
"Hypo-/dysmyelinogenesis (""shaking pup"")",수초형성부전 (셰이킹 퍼프)
hypoplastic trachea,기관 형성부전
ichthyosis,어린선
lupoid dermatosis,루푸스양 피부증
pattern baldness,패턴 탈모증
psoriasiform-lichenoid dermatosis,건선양-태선양 피부증
sebaceous adenitis,피지선염
seborrhea,지루증
tracheal collapse,기관 허탈
vitamin A-responsive dermatosis,비타민A 반응성 피부증
vitiligo,백반증
von Willebrand's disease,폰빌레브란트병
zinc-responsive dermatosis,아연 반응성 피부증
